Engine,Query,TPCDS_02,TPCDS_04,TPCDS_06,TPCDS_08,TPCDS_1
InnoDB,57,1.737,3.639,2.455,7.695,8.105
InnoDB,58,2.36,4.764,3.124,3.84,6.203
InnoDB,59,4.444,9.902,5.878,6.13,6.711
InnoDB,60,900,900,900,900,900
InnoDB,61,0.101,0.076,0.011,0.184,0.038
InnoDB,62,0.892,1.735,1.09,1.229,2.403
InnoDB,63,1.307,2.835,2.068,2.184,0.735
InnoDB,64,900,900,900,900,900
InnoDB,65,3.189,4.429,2.832,3.192,6.401
InnoDB,66,2.517,2.45,1.408,1.993,2.165
InnoDB,68,7.076,10.273,6.474,7.61,4.72
InnoDB,69,7.808,8.552,4.876,6.592,5.827
InnoDB,71,2.154,3.228,6.605,8.051,5.304
InnoDB,72,900,900,900,900,900
InnoDB,73,8.899,14.71,8.581,12.484,3.619
InnoDB,74,6.363,121.35,63.075,88.136,17.046
InnoDB,75,3.572,202.499,238.538,232.4,3.432
InnoDB,76,2.158,3.435,1.764,3.582,2.527
InnoDB,78,7.976,14.944,10.381,21.118,24.752
InnoDB,79,25.139,32.574,19.603,28.441,5.712
InnoDB,81,1.713,1.738,1.264,1.451,3.305
InnoDB,83,1.658,2.321,1.197,1.584,1.208
InnoDB,84,3.336,2.99,1.462,2.107,1.456
InnoDB,85,900,900,900,900,900
InnoDB,87,2.944,55.664,29.46,65.517,6.573
InnoDB,88,188.694,653.478,454.314,622.98,12.333
InnoDB,89,1.77,20.079,10.281,13.031,1.834
InnoDB,90,0.234,1.286,1.643,0.848,1.264
InnoDB,91,1.774,4.817,2.242,3.018,1.225
InnoDB,96,10.218,47.653,32.701,44.216,1.529
InnoDB,99,0.5,2.207,1.455,2.43,3.911
